hashtag,tweet_id,tweet,created_at,geo,author_id,lang,like_count,quote_count,reply_count,retweet_count
VoteBlueToSaveDemocracy,1581687400144588800,"😠🐺Some mad-dog MAGA-R's kept shouting:
💵💵GAS PRICES! TAXES! COST OF LIVING!

🗳️🗳️So, I voted - of my own free-will - to 
❓❓❓KILL DEMOCRACY❓❓❓

❗️❗️❗️NO NO NO

#VoteBlueToSaveDemocracy 
#VoteBlueToSaveDemocracy 
#VoteBlueToSaveAmerica 

What will YOU tell your children? https://t.co/gtOXzoYbuQ",2022-10-16 16:43:57+00:00, ,195045036,en,0,0,0,0
VoteBlueToSaveDemocracy,1581687400144588800,"😠🐺Some mad-dog MAGA-R's kept shouting:
💵💵GAS PRICES! TAXES! COST OF LIVING!

🗳️🗳️So, I voted - of my own free-will - to 
❓❓❓KILL DEMOCRACY❓❓❓

❗️❗️❗️NO NO NO

#VoteBlueToSaveDemocracy 
#VoteBlueToSaveDemocracy 
#VoteBlueToSaveAmerica 

What will YOU tell your children? https://t.co/gtOXzoYbuQ",2022-10-16 16:43:57+00:00, ,195045036,en,0,0,0,0
VoteBlueToSaveAmerica,1581687400144588800,"😠🐺Some mad-dog MAGA-R's kept shouting:
💵💵GAS PRICES! TAXES! COST OF LIVING!

🗳️🗳️So, I voted - of my own free-will - to 
❓❓❓KILL DEMOCRACY❓❓❓

❗️❗️❗️NO NO NO

#VoteBlueToSaveDemocracy 
#VoteBlueToSaveDemocracy 
#VoteBlueToSaveAmerica 

What will YOU tell your children? https://t.co/gtOXzoYbuQ",2022-10-16 16:43:57+00:00, ,195045036,en,0,0,0,0
AkilliGundem,1581686988146880515,"Hundreds protest in Berlin as the cost of living continues to rise 
Denis Darnel - #AkilliGundem

https://t.co/aaWWmkEVsx https://t.co/2EB8M0Q66j",2022-10-16 16:42:18+00:00, ,1947604778,en,0,0,0,0
FanDuelisUNBELIEVABLE,1581685519771062273,"#FanDuelisUNBELIEVABLE

Must ordered way of living book totally free of cost.
Please DM. https://t.co/k9jXcCLcdn",2022-10-16 16:36:28+00:00, ,973599074543898625,en,0,0,0,0
cost_of_living,1581684755799560192,Demonstration in Paris against the high cost of living: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9EdpXS2,2022-10-16 16:33:26+00:00, ,1452730505787551750,en,0,0,0,0
grand_paris,1581684755799560192,Demonstration in Paris against the high cost of living: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9EdpXS2,2022-10-16 16:33:26+00:00, ,1452730505787551750,en,0,0,0,0
the_high,1581684755799560192,Demonstration in Paris against the high cost of living: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9EdpXS2,2022-10-16 16:33:26+00:00, ,1452730505787551750,en,0,0,0,0
france,1581684755799560192,Demonstration in Paris against the high cost of living: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9EdpXS2,2022-10-16 16:33:26+00:00, ,1452730505787551750,en,0,0,0,0
france,1581684755799560192,Demonstration in Paris against the high cost of living: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9EdpXS2,2022-10-16 16:33:26+00:00, ,1452730505787551750,en,0,0,0,0
paris,1581684755799560192,Demonstration in Paris against the high cost of living: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9EdpXS2,2022-10-16 16:33:26+00:00, ,1452730505787551750,en,0,0,0,0
cost,1581684755799560192,Demonstration in Paris against the high cost of living: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9EdpXS2,2022-10-16 16:33:26+00:00, ,1452730505787551750,en,0,0,0,0
cost_of_living,1581684086208614400,Demonstration against the high cost of living in Paris: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9Ed8UQ2,2022-10-16 16:30:47+00:00, ,1452730505787551750,en,0,0,0,0
grand_paris,1581684086208614400,Demonstration against the high cost of living in Paris: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9Ed8UQ2,2022-10-16 16:30:47+00:00, ,1452730505787551750,en,0,0,0,0
the_high,1581684086208614400,Demonstration against the high cost of living in Paris: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9Ed8UQ2,2022-10-16 16:30:47+00:00, ,1452730505787551750,en,0,0,0,0
france,1581684086208614400,Demonstration against the high cost of living in Paris: 'Taxing the rich would not be bad enough' - #cost_of_living #grand_paris #the_high #france #france #paris #cost https://t.co/yuC9Ed8UQ2,2022-10-16 16:30:47+00:00, ,1452730505787551750,en,0,0,0,0
