,hashtag
France,0.04909090909090909
Paris,0.04363636363636364
france,0.025454545454545455
inflation,0.02
LaMarche,0.016363636363636365
CostOfLivingCrisis,0.016363636363636365
Marchedu16octobre,0.014545454545454545
childrights,0.012727272727272728
WHS2022,0.012727272727272728
MarcheContreLaVieChere,0.01090909090909091
Macron,0.01090909090909091
breakingnews,0.01090909090909091
MutualAidRequest,0.01090909090909091
VoteBlueToSaveDemocracy,0.01090909090909091
cost,0.00909090909090909
paris,0.00909090909090909
the_high,0.00909090909090909
grand_paris,0.00909090909090909
cost_of_living,0.00909090909090909
EnergyCrisis,0.00909090909090909
Biden,0.00909090909090909
Clothing,0.007272727272727273
BeKindAlways,0.007272727272727273
Hctbekindalways,0.007272727272727273
Newport,0.007272727272727273
climatechange,0.007272727272727273
AttackOnNature,0.007272727272727273
Canada,0.007272727272727273
helpingcaringteam,0.007272727272727273
CEBill,0.007272727272727273
protests,0.007272727272727273
COLA,0.007272727272727273
Hydrogen,0.005454545454545455
UkraineWar,0.005454545454545455
costofliving,0.005454545454545455
stokeontrent,0.005454545454545455
HungerFreeFuture,0.005454545454545455
TogetherWeCan,0.005454545454545455
energiecrisis,0.005454545454545455
MutualAid,0.005454545454545455
UkraineRussiaWar,0.005454545454545455
Russian,0.005454545454545455
ToryBrexitDisaster,0.005454545454545455
VoteBlueToSaveAmerica,0.005454545454545455
GeneralElection,0.005454545454545455
Russians,0.005454545454545455
TearsOfHunger,0.005454545454545455
Ukraine,0.005454545454545455
Europe,0.005454545454545455
marylandsaves,0.005454545454545455
smallbusiness,0.005454545454545455
planforyourfuture,0.005454545454545455
torychaos,0.005454545454545455
GreaterManchester,0.005454545454545455
HydrogenBottle,0.005454545454545455
protectioninsurance,0.005454545454545455
umakhelwane,0.005454545454545455
economy,0.005454545454545455
BidenWorstPresidentEver,0.005454545454545455
WaterEnergy,0.005454545454545455
book,0.005454545454545455
brexit,0.005454545454545455
Trussnomics,0.005454545454545455
streamingnews,0.005454545454545455
climatecrisis,0.005454545454545455
NY23,0.005454545454545455
ukgov,0.005454545454545455
TfL,0.005454545454545455
london,0.005454545454545455
RingsofPower,0.005454545454545455
flirting,0.005454545454545455
inspirational,0.005454545454545455
newsplayerplus,0.005454545454545455
news,0.005454545454545455
CostOfNetZero,0.005454545454545455
NATO,0.005454545454545455
uomoelegante,0.005454545454545455
politics,0.005454545454545455
Melenchon,0.005454545454545455
NUPES,0.005454545454545455
AdoptDontShop,0.005454545454545455
gloo,0.005454545454545455
miradaonline,0.005454545454545455
NeuterYourCats,0.005454545454545455
ecosistemaonline,0.005454545454545455
Antireport,0.005454545454545455
RuralWomen,0.005454545454545455
FanDuelisUNBELIEVABLE,0.005454545454545455
AkilliGundem,0.005454545454545455
OUB329,0.005454545454545455
climate,0.005454545454545455
French,0.005454545454545455
freedom,0.005454545454545455
protesting,0.005454545454545455
RuralWomensDay,0.0036363636363636364
LetsGoBrandon,0.0036363636363636364
adidas,0.0036363636363636364
predatormania,0.0036363636363636364
SmallBusinesses,0.0036363636363636364
EnoughIsEnough,0.0036363636363636364
TeamVirginMediaO2,0.0036363636363636364
CatoEcon,0.0036363636363636364
TAH,0.0036363636363636364
suppprtyourlocal,0.0036363636363636364
Bidenflation,0.0036363636363636364
CostOfLivingCrises,0.0036363636363636364
FJB,0.0036363636363636364
WorldFoodDay,0.0036363636363636364
Marche16Octobre,0.0036363636363636364
Surrey,0.0036363636363636364
SA,0.0036363636363636364
OPEC,0.0036363636363636364
RU,0.0036363636363636364
USD0,0.0036363636363636364
icecream,0.0036363636363636364
EU,0.0036363636363636364
oligopoly,0.0036363636363636364
shipping,0.0036363636363636364
Bahri,0.0036363636363636364
FloodInBayelsa,0.0036363636363636364
justinflation,0.0036363636363636364
coastlycoalition,0.0036363636363636364
UA,0.0036363636363636364
StarTrekProdigy,0.0036363636363636364
Ashgabat,0.0036363636363636364
Jerusalem,0.0036363636363636364
Busan,0.0036363636363636364
Incheon,0.0036363636363636364
Daegu,0.0036363636363636364
HongKong,0.0036363636363636364
Luanda,0.0036363636363636364
GeorgeTown,0.0036363636363636364
Zurich,0.0036363636363636364
NYC,0.0036363636363636364
Singapore,0.0036363636363636364
RISE,0.0036363636363636364
Australia,0.0036363636363636364
Recession,0.0036363636363636364
geoeconomics,0.0036363636363636364
TeachersDeserveBetter,0.0036363636363636364
bcpoli,0.0036363636363636364
Christmas,0.0036363636363636364
Seoul,0.0036363636363636364
coyr,0.0036363636363636364
finances,0.0036363636363636364
snacks,0.0036363636363636364
food,0.0036363636363636364
veg,0.0036363636363636364
fruit,0.0036363636363636364
dairy,0.0036363636363636364
grocery,0.0036363636363636364
socialmedia,0.0036363636363636364
Beirut,0.0036363636363636364
gohenry,0.0036363636363636364
moneymatters,0.0036363636363636364
Barrie,0.0036363636363636364
lights,0.0036363636363636364
Marvellous,0.0018181818181818182
yyc,0.0018181818181818182
CostOfLivingPayment,0.0018181818181818182
Diversealz,0.0018181818181818182
ableg,0.0018181818181818182
HelpForHouseholds,0.0018181818181818182
conservativeEconomicDisaster,0.0018181818181818182
rspca,0.0018181818181818182
conservative,0.0018181818181818182
indyref2,0.0018181818181818182
SNP,0.0018181818181818182
UK,0.0018181818181818182
SocialSecurity,0.0018181818181818182
