hashtag,tweet_id,tweet,created_at,geo,author_id,lang,like_count,quote_count,reply_count,retweet_count
裤里丝,1582076599054147586,"percent of college students travel in a bid to appreciating the scenery, #裤里丝 #狗奴 #公交车 #男m #少妇 #双女 #乱伦 #后入 https://t.co/4Amg6WpGAl",2022-10-17 18:30:29+00:00, ,1518039288084111360,en,0,0,0,0
狗奴,1582076599054147586,"percent of college students travel in a bid to appreciating the scenery, #裤里丝 #狗奴 #公交车 #男m #少妇 #双女 #乱伦 #后入 https://t.co/4Amg6WpGAl",2022-10-17 18:30:29+00:00, ,1518039288084111360,en,0,0,0,0
公交车,1582076599054147586,"percent of college students travel in a bid to appreciating the scenery, #裤里丝 #狗奴 #公交车 #男m #少妇 #双女 #乱伦 #后入 https://t.co/4Amg6WpGAl",2022-10-17 18:30:29+00:00, ,1518039288084111360,en,0,0,0,0
男m,1582076599054147586,"percent of college students travel in a bid to appreciating the scenery, #裤里丝 #狗奴 #公交车 #男m #少妇 #双女 #乱伦 #后入 https://t.co/4Amg6WpGAl",2022-10-17 18:30:29+00:00, ,1518039288084111360,en,0,0,0,0
少妇,1582076599054147586,"percent of college students travel in a bid to appreciating the scenery, #裤里丝 #狗奴 #公交车 #男m #少妇 #双女 #乱伦 #后入 https://t.co/4Amg6WpGAl",2022-10-17 18:30:29+00:00, ,1518039288084111360,en,0,0,0,0
双女,1582076599054147586,"percent of college students travel in a bid to appreciating the scenery, #裤里丝 #狗奴 #公交车 #男m #少妇 #双女 #乱伦 #后入 https://t.co/4Amg6WpGAl",2022-10-17 18:30:29+00:00, ,1518039288084111360,en,0,0,0,0
乱伦,1582076599054147586,"percent of college students travel in a bid to appreciating the scenery, #裤里丝 #狗奴 #公交车 #男m #少妇 #双女 #乱伦 #后入 https://t.co/4Amg6WpGAl",2022-10-17 18:30:29+00:00, ,1518039288084111360,en,0,0,0,0
后入,1582076599054147586,"percent of college students travel in a bid to appreciating the scenery, #裤里丝 #狗奴 #公交车 #男m #少妇 #双女 #乱伦 #后入 https://t.co/4Amg6WpGAl",2022-10-17 18:30:29+00:00, ,1518039288084111360,en,0,0,0,0
remingtoncollege,1582076584273453057,"🤪Remington College-Shreveport Campus is always in the mood for DESSERT.
 
🍭Happy National Dessert Day from our Students, Staff, &amp; Faculty.
 
#remingtoncollege #shreveport #nationaldessertday #fyp https://t.co/g2EDftukGn",2022-10-17 18:30:25+00:00, ,27962444,en,0,0,0,0
shreveport,1582076584273453057,"🤪Remington College-Shreveport Campus is always in the mood for DESSERT.
 
🍭Happy National Dessert Day from our Students, Staff, &amp; Faculty.
 
#remingtoncollege #shreveport #nationaldessertday #fyp https://t.co/g2EDftukGn",2022-10-17 18:30:25+00:00, ,27962444,en,0,0,0,0
