hashtag,tweet_id,tweet,created_at,geo,author_id,lang,like_count,quote_count,reply_count,retweet_count
GeneralElectionN0W,1584287310899994626,"Whilst the drama continues remember Austerity 2.0, Winter of Discontent and Cost of Living crisis will still be happening
#GeneralElectionN0W",2022-10-23 20:55:04+00:00, ,578856649,en,0,0,0,0
SaviourBoris,1584285961160396800,"UK is heading into inescapable vicious circle of stagflation/labourshortage/plunging cost of living crisis, exacerbated by broken supply chain, Brexit &amp; Ukraine war, making 2023 inevitably miserable for Sunak (or whoever) until #SaviourBoris is ""needed"" again by the desperates",2022-10-23 20:49:42+00:00, ,18571616,en,3,0,1,0
SmartNews,1584285428768595968,"Meet the pensioners forced back into work in their seventies and eighties due to the cost of living crisis #SmartNews      Is this  couple aware of the Republicans intent to deregulate,  privatize and reduce Social Security. https://t.co/SJCQDuMHdZ",2022-10-23 20:47:35+00:00, ,3265754970,en,0,0,0,0
AFTvotes,1584285251911573504,"Long before global inflation hit the kitchen table, @SpeakerPelosi has been laser-focused on lowering the cost of living for America’s working families. #AFTvotes https://t.co/HHqYYNfXrV",2022-10-23 20:46:53+00:00, ,245424983,en,4,1,0,2
BorisJohnson,1584282983368122369,"What next for #BorisJohnson ? I hear the Caribbean is nice this time of year.

And in the end it was all about Boris, as it always seems to be.

What an utter farce. 🤡

Can we get back to the big problems now? Cost of living, heat or eat, NHS, education etc.

#GeneralElectionN0W https://t.co/y9FF9gH4xh",2022-10-23 20:37:52+00:00, ,1456238800783519747,en,0,0,0,0
GeneralElectionN0W,1584282983368122369,"What next for #BorisJohnson ? I hear the Caribbean is nice this time of year.

And in the end it was all about Boris, as it always seems to be.

What an utter farce. 🤡

Can we get back to the big problems now? Cost of living, heat or eat, NHS, education etc.

#GeneralElectionN0W https://t.co/y9FF9gH4xh",2022-10-23 20:37:52+00:00, ,1456238800783519747,en,0,0,0,0
TWRNewsDesk,1584282512817258496,"Next on #TWRNewsDesk

Millions of people on Universal Credit are missing out on cheaper broadband deals as firms aren’t promoting social tariffs.

March Anchen from @CAPuk join us to talk about the increasing rise in the cost of living.

Listen now: https://t.co/NgTfKhI3Tv https://t.co/shFxUYLDCx",2022-10-23 20:36:00+00:00, ,256523503,en,0,0,0,0
ai,1584281856505417728,"""Levels of inflation only found in space.""

The cost of living keeps rising... Why do large grocery chains get to bully suppliers then whine and groan while still making more money in a week then I will in my lifetime?

#ai #aiart #midjourney #AUTOMATEDOBFUSCATION https://t.co/TgFlPeQl8d",2022-10-23 20:33:23+00:00, ,1555238934858280965,en,4,0,0,1
aiart,1584281856505417728,"""Levels of inflation only found in space.""

The cost of living keeps rising... Why do large grocery chains get to bully suppliers then whine and groan while still making more money in a week then I will in my lifetime?

#ai #aiart #midjourney #AUTOMATEDOBFUSCATION https://t.co/TgFlPeQl8d",2022-10-23 20:33:23+00:00, ,1555238934858280965,en,4,0,0,1
midjourney,1584281856505417728,"""Levels of inflation only found in space.""

The cost of living keeps rising... Why do large grocery chains get to bully suppliers then whine and groan while still making more money in a week then I will in my lifetime?

#ai #aiart #midjourney #AUTOMATEDOBFUSCATION https://t.co/TgFlPeQl8d",2022-10-23 20:33:23+00:00, ,1555238934858280965,en,4,0,0,1
