hashtag,tweet_id,tweet,created_at,geo,author_id,lang,like_count,quote_count,reply_count,retweet_count
buyingahome,1584289062059663360,"Don't Be Afraid of Today's Housing Market

Buying or selling a home doesn't have to be scary. Let's connect today to take the fear out of the market.
#buyingahome https://t.co/xjP2a4ae7u",2022-10-23 21:02:01+00:00, ,235962760,en,0,0,0,0
UK,1584289047257976832,"#UK #New_Build #property completions 1946 - 2015 by Private, #Housing_Association and Local Authority split! https://t.co/P35BdFn9Jj",2022-10-23 21:01:58+00:00, ,57356654,en,0,0,0,0
New_Build,1584289047257976832,"#UK #New_Build #property completions 1946 - 2015 by Private, #Housing_Association and Local Authority split! https://t.co/P35BdFn9Jj",2022-10-23 21:01:58+00:00, ,57356654,en,0,0,0,0
property,1584289047257976832,"#UK #New_Build #property completions 1946 - 2015 by Private, #Housing_Association and Local Authority split! https://t.co/P35BdFn9Jj",2022-10-23 21:01:58+00:00, ,57356654,en,0,0,0,0
Housing_Association,1584289047257976832,"#UK #New_Build #property completions 1946 - 2015 by Private, #Housing_Association and Local Authority split! https://t.co/P35BdFn9Jj",2022-10-23 21:01:58+00:00, ,57356654,en,0,0,0,0
yuriysetkorealestate,1584288992853430272,"Yuriy Setko, Real Estate Broker at EXP Realty MRIYA Team. T: 647-640-7557
https://t.co/Jq47MSrRRl
The Naked Truth About Real Estate in Toronto &amp; GTA
#yuriysetkorealestate #itrealty #realestatethenakedtruth",2022-10-23 21:01:45+00:00, ,1419268606643347457,en,0,0,0,0
itrealty,1584288992853430272,"Yuriy Setko, Real Estate Broker at EXP Realty MRIYA Team. T: 647-640-7557
https://t.co/Jq47MSrRRl
The Naked Truth About Real Estate in Toronto &amp; GTA
#yuriysetkorealestate #itrealty #realestatethenakedtruth",2022-10-23 21:01:45+00:00, ,1419268606643347457,en,0,0,0,0
realestatethenakedtruth,1584288992853430272,"Yuriy Setko, Real Estate Broker at EXP Realty MRIYA Team. T: 647-640-7557
https://t.co/Jq47MSrRRl
The Naked Truth About Real Estate in Toronto &amp; GTA
#yuriysetkorealestate #itrealty #realestatethenakedtruth",2022-10-23 21:01:45+00:00, ,1419268606643347457,en,0,0,0,0
KINGTremayne,1584288935160807424,"Will the Housing Market Crash in 2023?
https://t.co/m1EO82yGpD
Contact me to discuss the latest scoop in real estate! #KINGTremayne #realestatenews #realestatetips #realestatelife",2022-10-23 21:01:31+00:00, ,1457062098266214404,en,0,0,0,0
realestatenews,1584288935160807424,"Will the Housing Market Crash in 2023?
https://t.co/m1EO82yGpD
Contact me to discuss the latest scoop in real estate! #KINGTremayne #realestatenews #realestatetips #realestatelife",2022-10-23 21:01:31+00:00, ,1457062098266214404,en,0,0,0,0
realestatetips,1584288935160807424,"Will the Housing Market Crash in 2023?
https://t.co/m1EO82yGpD
Contact me to discuss the latest scoop in real estate! #KINGTremayne #realestatenews #realestatetips #realestatelife",2022-10-23 21:01:31+00:00, ,1457062098266214404,en,0,0,0,0
realestatelife,1584288935160807424,"Will the Housing Market Crash in 2023?
https://t.co/m1EO82yGpD
Contact me to discuss the latest scoop in real estate! #KINGTremayne #realestatenews #realestatetips #realestatelife",2022-10-23 21:01:31+00:00, ,1457062098266214404,en,0,0,0,0
richmondhill,1584288845142671361,"5 Key Housing Market Trends
https://t.co/ieA17olxNL
#richmondhill #realestateToronto #realestategta #torontorealtor #torontorealtors #torontorealestate #torontobestrealtor #torontohomes #housingmarket",2022-10-23 21:01:10+00:00, ,63351034,en,0,0,0,0
