hashtag,tweet_id,tweet,created_at,geo,author_id,lang,like_count,quote_count,reply_count,retweet_count
ElectionDay,1584288724090703872,"Tomorrow is #ElectionDay in Ottawa!

Check out the Alliance to End Homelessness’ to find out who is running, whether they endorse the Starts With Home platform, and what they intend to do to resolve the housing affordability crisis in Ottawa: https://t.co/pb5alQBYIN https://t.co/2juqx8jvG6",2022-10-23 21:00:41+00:00, ,1602336372,en,0,0,0,0
Greens,1584286973917024257,"Leo loves to garden. That requires one, something many people my age may never have. Thanks housing crisis. What'll help is introducing a social &amp; affordable housing levy so developers contribute fairly to affordable housing. #Greens #AusPol #SpringSt #VicVotes #Victoria #Eltham https://t.co/y7igppzYbg",2022-10-23 20:53:43+00:00, ,1570642250643959808,en,1,0,0,1
AusPol,1584286973917024257,"Leo loves to garden. That requires one, something many people my age may never have. Thanks housing crisis. What'll help is introducing a social &amp; affordable housing levy so developers contribute fairly to affordable housing. #Greens #AusPol #SpringSt #VicVotes #Victoria #Eltham https://t.co/y7igppzYbg",2022-10-23 20:53:43+00:00, ,1570642250643959808,en,1,0,0,1
SpringSt,1584286973917024257,"Leo loves to garden. That requires one, something many people my age may never have. Thanks housing crisis. What'll help is introducing a social &amp; affordable housing levy so developers contribute fairly to affordable housing. #Greens #AusPol #SpringSt #VicVotes #Victoria #Eltham https://t.co/y7igppzYbg",2022-10-23 20:53:43+00:00, ,1570642250643959808,en,1,0,0,1
VicVotes,1584286973917024257,"Leo loves to garden. That requires one, something many people my age may never have. Thanks housing crisis. What'll help is introducing a social &amp; affordable housing levy so developers contribute fairly to affordable housing. #Greens #AusPol #SpringSt #VicVotes #Victoria #Eltham https://t.co/y7igppzYbg",2022-10-23 20:53:43+00:00, ,1570642250643959808,en,1,0,0,1
Victoria,1584286973917024257,"Leo loves to garden. That requires one, something many people my age may never have. Thanks housing crisis. What'll help is introducing a social &amp; affordable housing levy so developers contribute fairly to affordable housing. #Greens #AusPol #SpringSt #VicVotes #Victoria #Eltham https://t.co/y7igppzYbg",2022-10-23 20:53:43+00:00, ,1570642250643959808,en,1,0,0,1
Eltham,1584286973917024257,"Leo loves to garden. That requires one, something many people my age may never have. Thanks housing crisis. What'll help is introducing a social &amp; affordable housing levy so developers contribute fairly to affordable housing. #Greens #AusPol #SpringSt #VicVotes #Victoria #Eltham https://t.co/y7igppzYbg",2022-10-23 20:53:43+00:00, ,1570642250643959808,en,1,0,0,1
okboomer,1584285433739235328,"But I was specifically told that Boomers were to blame for everything, including the housing crisis. #okboomer #affordablehousing #mapoli https://t.co/MuemiaQroX via @BostonGlobe",2022-10-23 20:47:36+00:00, ,2409320130,en,0,0,0,0
affordablehousing,1584285433739235328,"But I was specifically told that Boomers were to blame for everything, including the housing crisis. #okboomer #affordablehousing #mapoli https://t.co/MuemiaQroX via @BostonGlobe",2022-10-23 20:47:36+00:00, ,2409320130,en,0,0,0,0
mapoli,1584285433739235328,"But I was specifically told that Boomers were to blame for everything, including the housing crisis. #okboomer #affordablehousing #mapoli https://t.co/MuemiaQroX via @BostonGlobe",2022-10-23 20:47:36+00:00, ,2409320130,en,0,0,0,0
Fed,1584280347151597568,"Current market expectations for path of #Fed Funds Rate : 
-November: 75 bps hike to 3.75%-4.00%
-December: 50 bps hike to 4.25%-4.50%
-Feb 2023: 25 bps hike to 4.50%-4.75%
-Pause
- Collapse of the housing market ;
- Government debt crisis ; 
-Rate cuts start in Dec 2023",2022-10-23 20:27:23+00:00, ,1456608398674432006,en,0,0,0,0
propertynews,1584279251259269121,"📰: ""As the cost-of-living crisis hits the housing market, almost two in three (63%) of UK adults fear the economic downturn could hurt their chances of getting a mortgage in the next 12 months, according to data from Together.""

Read more: https://t.co/uJXwWaAaVy

#propertynews",2022-10-23 20:23:02+00:00, ,844954570115727360,en,0,0,0,0
Tallaght,1584276224993800192,Students are sleeping in cars and sofas due to housing crisis. #Tallaght @TheUSI  https://t.co/matq3JLqlG,2022-10-23 20:11:01+00:00, ,277965001,en,0,0,0,0
ChristianNationalist,1584271247990747136,"Exactly my thoughts, and it’s not even as though most of the world isn’t also suffering with high inflation &amp; gas prices. The housing crisis was serious. This is not worth handing government over to #ChristianNationalist #fascist terrorists! #VoteBlueToSaveDemocracy https://t.co/KizoAnFLwk",2022-10-23 19:51:14+00:00, ,824109296656887808,en,0,0,0,0
fascist,1584271247990747136,"Exactly my thoughts, and it’s not even as though most of the world isn’t also suffering with high inflation &amp; gas prices. The housing crisis was serious. This is not worth handing government over to #ChristianNationalist #fascist terrorists! #VoteBlueToSaveDemocracy https://t.co/KizoAnFLwk",2022-10-23 19:51:14+00:00, ,824109296656887808,en,0,0,0,0
VoteBlueToSaveDemocracy,1584271247990747136,"Exactly my thoughts, and it’s not even as though most of the world isn’t also suffering with high inflation &amp; gas prices. The housing crisis was serious. This is not worth handing government over to #ChristianNationalist #fascist terrorists! #VoteBlueToSaveDemocracy https://t.co/KizoAnFLwk",2022-10-23 19:51:14+00:00, ,824109296656887808,en,0,0,0,0
IndianaHousingSummit,1584267674011377665,Court Watchers' Toolkit: how to go to local evictions court to see housing instability and see the eviction crisis firsthand in Indiana #IndianaHousingSummit @SenFadyQaddoura @H4Hoosiers @IndyMultifaith @rebaaron https://t.co/LMBpcNP9Ll,2022-10-23 19:37:02+00:00, ,1332919688,en,0,0,0,0
NHS,1584267533518938113,"So starvation, poverty, black outs, low wages and pensions, housing crisis, #NHS decimation, schools bankrupt, austerity, sewage in sea, sewage poisoning rivers, dumped #GDPR etc are all preferable to being in EU/customs union/Single Market? @campbellclaret @RoryStewartUK https://t.co/U8VoeH9r5h",2022-10-23 19:36:28+00:00, ,1425210032,en,4,0,0,6
GDPR,1584267533518938113,"So starvation, poverty, black outs, low wages and pensions, housing crisis, #NHS decimation, schools bankrupt, austerity, sewage in sea, sewage poisoning rivers, dumped #GDPR etc are all preferable to being in EU/customs union/Single Market? @campbellclaret @RoryStewartUK https://t.co/U8VoeH9r5h",2022-10-23 19:36:28+00:00, ,1425210032,en,4,0,0,6
ula,1584259935445340161,"How “Yes” on ULA Seriously Addresses LA’s Homelessness Crisis • @PeterDreier • https://t.co/RuT3NFQUkt

Measure ULA will raise an $900 million a year to reduce homelessness, create more affordable housing, and protect low-income renters  from losing their homes. #ula #homeless https://t.co/LLp1NGqjCF",2022-10-23 19:06:17+00:00, ,15426668,en,2,0,0,7
homeless,1584259935445340161,"How “Yes” on ULA Seriously Addresses LA’s Homelessness Crisis • @PeterDreier • https://t.co/RuT3NFQUkt

Measure ULA will raise an $900 million a year to reduce homelessness, create more affordable housing, and protect low-income renters  from losing their homes. #ula #homeless https://t.co/LLp1NGqjCF",2022-10-23 19:06:17+00:00, ,15426668,en,2,0,0,7
Oakville,1584256947372818432,Went through @JuliaHannaOak platform. Her only solution to the housing crisis is to oppose 59 storeys skycrapers. She has nothing concrete to propose as alternative. Another wealthy politician all about nimbysm. No actual solution for millenials #Oakville #Mayor,2022-10-23 18:54:24+00:00, ,1102027412005666817,en,0,0,0,0
Mayor,1584256947372818432,Went through @JuliaHannaOak platform. Her only solution to the housing crisis is to oppose 59 storeys skycrapers. She has nothing concrete to propose as alternative. Another wealthy politician all about nimbysm. No actual solution for millenials #Oakville #Mayor,2022-10-23 18:54:24+00:00, ,1102027412005666817,en,0,0,0,0
thenewslums,1584256460891955200,"Land banking by developers and investors is having a significant affect on property/land prices, as first time buyers struggle to get on the property ladder. Something which must change if we want to put an end to the housing crisis. #thenewslums https://t.co/kb6dmda612",2022-10-23 18:52:28+00:00, ,1575843470421667841,en,0,0,0,0
orpol,1584254335672016896,Oh No! Politicians Caught Pretending to Care About the Housing Crisis to Get Elected! #orpol #orgov https://t.co/1CexnViPPv,2022-10-23 18:44:02+00:00, ,1580266916215943168,en,9,0,0,2
orgov,1584254335672016896,Oh No! Politicians Caught Pretending to Care About the Housing Crisis to Get Elected! #orpol #orgov https://t.co/1CexnViPPv,2022-10-23 18:44:02+00:00, ,1580266916215943168,en,9,0,0,2
icymi,1584251562074873856,"Greener, better, faster: Modular’s role in solving the housing crisi https://t.co/y5K6CGBL5x #icymi",2022-10-23 18:33:01+00:00, ,1488517505488498689,en,0,0,0,0
bospoli,1584247632628621312,".@MayorWu calls on state to create 1,000 new units of low-threshold housing outside city to address crisis at Mass. and Cass https://t.co/WRGNjYAqGl via @BostonDotCom &gt; #bospoli #mapoli #massgov #homelessness #mentalhealth #housing",2022-10-23 18:17:24+00:00, ,234929591,en,1,0,0,0
mapoli,1584247632628621312,".@MayorWu calls on state to create 1,000 new units of low-threshold housing outside city to address crisis at Mass. and Cass https://t.co/WRGNjYAqGl via @BostonDotCom &gt; #bospoli #mapoli #massgov #homelessness #mentalhealth #housing",2022-10-23 18:17:24+00:00, ,234929591,en,1,0,0,0
massgov,1584247632628621312,".@MayorWu calls on state to create 1,000 new units of low-threshold housing outside city to address crisis at Mass. and Cass https://t.co/WRGNjYAqGl via @BostonDotCom &gt; #bospoli #mapoli #massgov #homelessness #mentalhealth #housing",2022-10-23 18:17:24+00:00, ,234929591,en,1,0,0,0
homelessness,1584247632628621312,".@MayorWu calls on state to create 1,000 new units of low-threshold housing outside city to address crisis at Mass. and Cass https://t.co/WRGNjYAqGl via @BostonDotCom &gt; #bospoli #mapoli #massgov #homelessness #mentalhealth #housing",2022-10-23 18:17:24+00:00, ,234929591,en,1,0,0,0
